id_client,numero_client,nom,prenom,sexe,date_naissance,email,telephone,adresse,ville,code_postal,date_creation_client,statut_client,id_foyer,id_conseiller
48,C0048,Mahe,Marine,M,1978-10-27,suzanne16@example.org,03 28 84 51 15,"84, avenue de Brun",Martydan,06844,2025-04-25,inactif,40,11
49,C0049,Benard,Laetitia,F,2007-11-09,lucie01@example.net,04 95 82 02 97,rue Huet,Étienne,49680,2021-02-15,inactif,33,10
50,C0050,Brunet,Margaret,M,1976-01-23,alix71@example.net,+33 4 97 65 43 10,"97, boulevard Georges Charles",Fischer,57319,2025-12-12,actif,26,10
51,C0051,Renault,Marine,M,2003-02-13,hbourgeois@example.org,+33 (0)6 30 27 15 51,"344, rue de Étienne",HubertBourg,25911,2021-08-28,inactif,27,13
52,C0052,Teixeira,André,M,1970-11-24,chantal82@example.net,+33 (0)1 88 46 78 66,"3, rue Catherine Turpin",Barre-les-Bains,97480,2024-02-29,inactif,26,18
53,C0053,Vidal,Pauline,F,2006-01-03,dgaudin@example.org,+33 4 63 22 53 58,"5, boulevard Paris",Toussaint,38729,2023-08-19,inactif,19,7
54,C0054,Gaudin,Lucy,F,1959-09-30,jeandelmas@example.net,0172010943,"19, boulevard Stéphane Clerc",Guillet,31924,2025-01-01,actif,30,15
55,C0055,Lebon,Théophile,M,1976-04-08,barbierbrigitte@example.com,06 36 35 92 55,"36, boulevard Gabrielle Gautier",Guillot,59225,2022-04-20,actif,33,16
56,C0056,Hoarau,Guy,F,1955-07-31,alice96@example.org,+33 4 76 95 32 78,"84, rue Carlier",Albert-sur-Mer,27697,2022-09-23,actif,19,17
57,C0057,Girard,Roland,F,1978-09-01,irenault@example.org,+33 (0)5 79 24 56 50,"9, chemin Lenoir",Legrand,49616,2023-03-20,actif,49,8
58,C0058,Dias,Roger,M,1997-10-31,rodriguezetienne@example.com,0482852398,"100, chemin Reynaud",Pineau-les-Bains,77627,2021-08-30,actif,13,5
59,C0059,Raymond,Timothée,M,1959-05-23,jeanne58@example.net,04 57 70 55 16,"80, boulevard Hortense Dumas",Sainte Jean,67744,2024-07-27,inactif,16,16
60,C0060,Becker,Zoé,M,1972-01-06,arthurbaudry@example.net,+33 (0)3 51 07 56 26,"96, avenue de Guyon",Saint Diane,26674,2022-08-03,inactif,27,19
61,C0061,Dupré,Christiane,M,1980-06-10,jerome78@example.com,0413973348,"54, rue de Blot",Prévostdan,44673,2025-08-19,actif,32,13
62,C0062,Mace,Robert,M,1966-08-28,wdelaunay@example.org,0172415747,"58, chemin de Dos Santos",Saint PatrickVille,85643,2022-02-03,inactif,42,1
63,C0063,Rey,Bernard,F,1955-10-11,michelle71@example.net,+33 1 39 82 67 73,"14, boulevard Grondin",RoussetVille,22527,2025-05-17,actif,15,6
64,C0064,Schmitt,Auguste,M,2007-10-20,lcosta@example.net,0169049915,"98, rue Claude Bodin",Maillard-sur-Mer,15438,2021-10-10,inactif,36,8
65,C0065,Albert,Madeleine,F,1964-11-19,alexandregallet@example.com,0352296685,rue Julien Joly,Breton-sur-Mer,01367,2022-11-18,inactif,9,15
66,C0066,Cohen,Odette,F,1965-06-14,thibaut99@example.org,0493301742,"541, boulevard Matthieu Vasseur",Martel,20565,2024-09-14,inactif,40,17
67,C0067,Seguin,Alix,F,1974-01-31,iboulay@example.net,+33 3 83 91 87 85,rue de Bonnet,Bodin-sur-Mer,73649,2021-09-17,inactif,11,16
68,C0068,Millet,Dominique,F,1980-02-22,bazinlucas@example.net,02 34 87 07 28,"19, avenue de Maillet",Ramos,03505,2022-03-27,inactif,49,8
69,C0069,Bernard,Noémi,F,1962-08-09,lambertaudrey@example.com,+33 (0)1 81 17 04 62,"75, avenue Alexandria Faure",Lucasboeuf,16282,2025-12-05,inactif,41,8
70,C0070,Carlier,Éléonore,M,1957-05-08,victoirebernard@example.org,0636868633,"52, rue David",BonneauVille,30311,2021-04-19,inactif,5,10
71,C0071,Valentin,Arthur,M,1975-11-10,moulinnicole@example.org,05 87 38 30 28,"69, boulevard de Leleu",Gomez,38997,2021-09-05,actif,22,11
72,C0072,Peltier,Dorothée,F,1962-10-14,robert08@example.net,+33 5 65 87 05 68,"36, avenue Julien Faivre",Reynaud-sur-Mer,28407,2025-04-02,actif,10,8
73,C0073,Meunier,Susan,M,1976-10-26,guilbertantoinette@example.com,+33 5 33 34 35 17,"9, rue de Roux",Hoareau,86719,2023-12-24,inactif,46,7
74,C0074,Legrand,Laurent,F,1996-08-19,christianeguillaume@example.com,0144331739,"46, chemin de Diallo",Gillet,59646,2024-03-17,inactif,27,11
75,C0075,Le Gall,Raymond,F,1970-10-28,gturpin@example.net,04 72 35 56 09,"50, boulevard de Delorme",Collet-les-Bains,25437,2022-02-11,inactif,4,7
76,C0076,Colas,Victoire,M,1964-03-20,pierre77@example.com,+33 4 89 22 87 28,"9, rue Laroche",Saint Antoinette,18962,2024-02-13,inactif,50,19
77,C0077,Mercier,Mathilde,F,1958-09-22,corinnepineau@example.com,+33 (0)6 99 70 08 86,boulevard Mace,Regnier,36117,2023-06-23,inactif,31,1
78,C0078,Rocher,Margot,F,1974-12-09,franckpereira@example.net,+33 3 80 39 84 54,"6, avenue Geneviève Berger",Ribeiro,87947,2025-03-16,actif,49,13
79,C0079,Guibert,Manon,F,1994-01-08,lebonalex@example.com,01 79 02 17 65,"9, rue Lecomte",Ollivier-sur-Dupuy,06176,2024-05-21,inactif,32,8
80,C0080,Guyot,Émilie,F,1982-08-25,colinclaude@example.com,+33 (0)3 60 92 61 42,"79, boulevard de Rémy",Faivre-les-Bains,88841,2021-05-10,inactif,32,1
81,C0081,Vallet,Adélaïde,M,1953-01-29,egrondin@example.com,04 76 04 77 35,"36, boulevard de Peltier",Clément-la-Forêt,31830,2021-05-01,inactif,43,13
82,C0082,Royer,Honoré,M,1972-01-02,nicoleperrier@example.com,0244104754,rue Lemoine,Ponsnec,14126,2021-05-30,inactif,9,20
83,C0083,Lenoir,Éric,M,1984-08-02,alice04@example.com,02 31 83 98 26,"54, avenue William Andre",Gay,35531,2022-06-18,actif,38,19
84,C0084,Garnier,Agnès,M,1964-07-25,michelletoussaint@example.com,+33 6 33 12 40 65,"85, avenue Sylvie Gilles",Dufour-sur-Ribeiro,41717,2025-09-13,inactif,42,14
85,C0085,Bourgeois,Christiane,F,1968-03-09,sjulien@example.net,03 81 56 46 51,"99, boulevard Michel",Neveu-sur-Mer,56916,2022-06-03,inactif,12,2
86,C0086,Jacquot,Daniel,F,1997-06-18,fmaillet@example.org,0380426617,"79, boulevard de Jacquot",DevauxVille,46818,2025-06-11,inactif,21,7
87,C0087,Regnier,Jeannine,F,1986-12-24,nicolaspauline@example.org,0321909656,rue Poirier,Gros,95631,2023-10-03,inactif,22,13
88,C0088,Lagarde,Hortense,F,1962-10-14,anais79@example.net,+33 4 85 07 14 61,rue de Lévêque,Le Goff,58903,2021-12-30,actif,17,3
89,C0089,Guillet,Adèle,M,1977-08-01,smace@example.com,0214401051,"93, boulevard Leroux",Vaillant,54573,2022-02-14,inactif,48,18
90,C0090,Lebon,Louise,M,1960-08-30,bdelaunay@example.net,+33 6 29 66 03 34,"2, rue de Poulain",Pierre,58216,2022-04-11,actif,15,3
91,C0091,Camus,Éléonore,M,2005-12-26,jeannine69@example.com,+33 (0)4 87 57 92 49,"3, rue Olivier Schneider",Saint Alix-les-Bains,65497,2023-01-21,actif,16,7
92,C0092,Dos Santos,Hortense,F,1972-03-21,clairebousquet@example.net,+33 3 21 74 22 57,"6, avenue Dufour",Jacob,71617,2024-03-25,actif,16,5
93,C0093,Lejeune,Marianne,F,1978-06-26,kcamus@example.org,+33 (0)3 66 40 43 84,"89, boulevard de Marie",Noël-sur-Royer,97479,2025-01-30,inactif,37,7
94,C0094,Poulain,Élodie,M,1997-09-04,samsonmichelle@example.com,+33 5 64 13 40 74,"8, rue Lacroix",Lagarde-sur-Marty,90724,2024-02-17,actif,50,12
95,C0095,Gaillard,Laetitia,F,1958-01-15,sylvieleclerc@example.org,0432982544,"28, avenue Lopez",Bègue,17818,2025-04-18,actif,50,6
96,C0096,Menard,William,F,1991-03-24,patricialabbe@example.com,02 72 94 66 71,"7, chemin de Lemonnier",De Sousa,62435,2023-11-16,inactif,38,1
97,C0097,Becker,Camille,M,1992-06-18,qbousquet@example.net,0183863637,"64, boulevard de Dumont",Vallée-sur-Le Goff,87880,2021-03-16,actif,26,7
98,C0098,Perrin,Lorraine,M,1995-06-06,hdurand@example.org,06 32 06 32 42,"6, rue Alix Chartier",Roux,50740,2022-06-29,actif,7,10
99,C0099,Bonnin,Olivie,F,1963-07-19,fischeretienne@example.org,+33 6 81 29 38 70,chemin de Mathieu,Lemonnier-les-Bains,61172,2022-02-09,inactif,23,18
100,C0100,Blanc,Nath,F,1996-09-16,bouvieralexandrie@example.com,+33 5 24 22 18 90,"67, rue de Techer",Bouchet,78803,2023-03-06,actif,5,17
