id_scoring,type_score,date_scoring,valeur_score,commentaire,id_compte,id_foyer
92,compte,2024-05-19,765,Joindre juge souvenir hauteur.,3.0,
93,compte,2024-04-19,682,Dimanche enfermer près poche.,3.0,
94,compte,2024-03-19,725,Profondément de vague son lutte portier ouvert.,3.0,
95,compte,2024-02-19,782,Peuple désir éternel plus fin secret.,3.0,
96,compte,2024-01-19,850,Suite ordre acte train lisser intéresser lendemain.,3.0,
97,compte,2023-12-19,523,Avance là déposer victime.,3.0,
98,compte,2023-11-19,553,Livre mer feu.,3.0,
99,compte,2023-10-19,383,Avenir hier mot battre leur.,3.0,
100,compte,2023-09-19,838,Caresser lettre perdre bord fusil mille.,3.0,
101,compte,2023-08-19,757,Saluer respecter ventre.,3.0,
102,compte,2023-07-19,840,Succès moi père image étaler.,3.0,
103,compte,2023-06-19,670,Rose sens erreur.,3.0,
104,compte,2023-05-19,379,Obéir prince face ici blanc peser abri examiner.,3.0,
105,compte,2023-04-19,414,Menacer faveur briller sûr large.,3.0,
106,compte,2023-03-19,363,Briser oncle construire tout fonction immense.,3.0,
107,compte,2023-02-19,817,Prince bruit garde tôt secours.,3.0,
108,compte,2023-01-19,507,Ce suffire immense nom ligne véritable absolument qualité.,3.0,
109,compte,2025-12-19,849,Traîner secret joindre loi titre compte naissance.,4.0,
110,compte,2025-11-19,453,Bouche personne oeuvre entier.,4.0,
111,compte,2025-10-19,468,Genre oiseau pour désigner former été.,4.0,
112,compte,2025-09-19,635,Idée cesse gagner précipiter quoi.,4.0,
113,compte,2025-08-19,832,Semblable menacer enfant quand midi.,4.0,
114,compte,2025-07-19,752,Coup paquet écarter étendue plein.,4.0,
115,compte,2025-06-19,419,Lieu poursuivre entourer camarade.,4.0,
116,compte,2025-05-19,510,Moi nécessaire très presser pleurer suivre.,4.0,
117,compte,2025-04-19,800,Du séparer rire maintenant air chasser plaisir.,4.0,
118,compte,2025-03-19,393,Disposer reposer vite police chaud.,4.0,
119,compte,2025-02-19,822,Posséder écraser rapide ancien.,4.0,
120,compte,2025-01-19,756,Bonheur soldat quartier soin quel miser demeurer.,4.0,
121,compte,2024-12-19,356,Pourquoi arbre figure général réserver.,4.0,
122,compte,2024-11-19,764,Vers art quelque courage soleil simple.,4.0,
123,compte,2024-10-19,435,Sauter temps près paysan rappeler mémoire.,4.0,
124,compte,2024-09-19,825,Côté projet convenir hors vite autrement vent puissant.,4.0,
125,compte,2024-08-19,725,Fermer grandir militaire certain.,4.0,
126,compte,2024-07-19,767,Sentiment accepter installer tranquille appartement tour nouveau remarquer.,4.0,
127,compte,2024-06-19,359,Où peuple justice mot existence répondre ennemi dangereux.,4.0,
128,compte,2024-05-19,773,Madame repousser cinquante meilleur.,4.0,
129,compte,2024-04-19,615,Beaux danser croire erreur exposer dame.,4.0,
130,compte,2024-03-19,322,Manger vrai saisir visible accorder plaine hiver tandis que.,4.0,
131,compte,2024-02-19,705,Tête dernier appartement sous figure retirer calme deviner.,4.0,
132,compte,2024-01-19,560,Air l'un rejeter lourd loi.,4.0,
133,compte,2023-12-19,303,Approcher surprendre contre lourd troubler combien vague.,4.0,
134,compte,2023-11-19,523,Marché parcourir cri parfois croire pont sec.,4.0,
135,compte,2023-10-19,374,Marquer premier village remettre paysage.,4.0,
136,compte,2023-09-19,346,Qui chiffre important éprouver.,4.0,
137,compte,2023-08-19,733,Autrefois compter détacher auteur.,4.0,
138,compte,2023-07-19,652,Tempête froid humain franchir engager.,4.0,
139,compte,2023-06-19,365,Plein marcher passer ouvrage rapporter nez.,4.0,
140,compte,2023-05-19,361,Exiger lier eaux pont.,4.0,
141,compte,2023-04-19,370,Bas réel hasard force petit inutile marché chaise.,4.0,
142,compte,2023-03-19,783,Retirer serrer écraser parti effort souvenir.,4.0,
143,compte,2023-02-19,332,Vaincre achever songer chant appeler mot.,4.0,
144,compte,2023-01-19,593,Marier trop émotion quoi taille éteindre.,4.0,
145,compte,2025-12-19,718,Tantôt seuil chaque connaissance oublier détail.,5.0,
146,compte,2025-11-19,484,Confiance réunir seul seuil.,5.0,
147,compte,2025-10-19,438,Impossible mentir écarter auquel bleu promener journée.,5.0,
148,compte,2025-09-19,730,Exiger planche delà droite auteur convenir.,5.0,
149,compte,2025-08-19,683,Huit oublier empêcher neuf moitié facile engager.,5.0,
150,compte,2025-07-19,691,Comme enfance reposer prêter passé doucement.,5.0,
151,compte,2025-06-19,759,Chacun puis soudain inconnu exister empêcher.,5.0,
152,compte,2025-05-19,686,Brusquement payer avouer douze salut suffire côté.,5.0,
153,compte,2025-04-19,684,Avant avancer agir livre amuser naturellement françois nombre.,5.0,
154,compte,2025-03-19,382,Mesure mêler y.,5.0,
155,compte,2025-02-19,436,Perdu chemise folie suffire nom signer cesser.,5.0,
156,compte,2025-01-19,656,Long forme lien peur sept rideau oreille.,5.0,
157,compte,2024-12-19,421,Rassurer changer cinquante mon.,5.0,
158,compte,2024-11-19,482,Petit verser pur joindre exister dame journée.,5.0,
159,compte,2024-10-19,850,Discours delà plaine lune.,5.0,
160,compte,2024-09-19,702,Fixer terreur soulever appartement peine bord.,5.0,
161,compte,2024-08-19,841,Parti donner que naissance montrer ferme feu.,5.0,
162,compte,2024-07-19,430,Perdre sec l'un ferme tard lumière étude sol.,5.0,
163,compte,2024-06-19,528,Respirer souvenir accompagner soumettre haute défaut lueur.,5.0,
164,compte,2024-05-19,303,Crier considérer exprimer principe caractère.,5.0,
165,compte,2024-04-19,323,Garder épaule calme pluie jeter.,5.0,
166,compte,2024-03-19,605,Claire scène aile apprendre mourir claire parfois apparence.,5.0,
167,compte,2024-02-19,774,Chaud combat toile l'un françois vêtir pas.,5.0,
168,compte,2024-01-19,734,Trop curieux oeuvre intérieur jeunesse.,5.0,
169,compte,2023-12-19,844,Sauter objet rester ruine confiance.,5.0,
170,compte,2023-11-19,688,Discours profondément etc idée nombreux décrire fin.,5.0,
171,compte,2023-10-19,535,Âgé maintenant tellement politique.,5.0,
172,compte,2023-09-19,553,Oeil compte tâche nul.,5.0,
173,compte,2023-08-19,771,Lier car joie certain occasion sang sûr.,5.0,
174,compte,2023-07-19,654,Main fatigue apprendre malheur décrire réveiller.,5.0,
175,compte,2023-06-19,458,Être revoir te seconde muet grâce.,5.0,
176,compte,2023-05-19,582,Jardin dehors silence droit sortir.,5.0,
177,compte,2023-04-19,493,Devoir accent quelque accomplir main lutter.,5.0,
178,compte,2023-03-19,415,Perdu porter enfoncer exprimer choix pénétrer.,5.0,
179,compte,2023-02-19,332,Dimanche mari mois or voler.,5.0,
180,compte,2023-01-19,729,Rappeler garçon répéter joie fatigue mieux.,5.0,
181,compte,2025-12-19,316,Voisin musique remarquer fort chambre.,6.0,
182,compte,2025-11-19,546,Quitter homme précieux classe.,6.0,
183,compte,2025-10-19,511,Loi repousser réussir oreille politique.,6.0,
184,compte,2025-09-19,368,Clair vérité accent.,6.0,
185,compte,2025-08-19,403,Saint intérieur obéir battre.,6.0,
186,compte,2025-07-19,334,D'Autres avis apercevoir fils vivre.,6.0,
187,compte,2025-06-19,757,Personnage du ventre assister remarquer complètement le acheter.,6.0,
188,compte,2025-05-19,349,Du anglais nul lumière dégager comme animer.,6.0,
189,compte,2025-04-19,550,Père vif bas double fort.,6.0,
190,compte,2025-03-19,345,François couleur affirmer prendre tête mentir.,6.0,
191,compte,2025-02-19,711,Terme étouffer ventre doucement oeuvre corde tout.,6.0,
192,compte,2025-01-19,749,Absolument complet lit mince lier étage car.,6.0,
193,compte,2024-12-19,539,Vague sorte rôle moyen pourquoi vers moindre.,6.0,
194,compte,2024-11-19,522,Rassurer vendre importance imposer ni.,6.0,
195,compte,2024-10-19,357,Jeunesse devoir fil.,6.0,
196,compte,2024-09-19,443,Plusieurs défaut enfoncer user l'un.,6.0,
197,compte,2024-08-19,815,Précis diriger durant.,6.0,
198,compte,2024-07-19,596,Plein sable avant tout jambe étudier.,6.0,
199,compte,2024-06-19,539,Divers trop poitrine témoin leur couler pur.,6.0,
200,compte,2024-05-19,626,Coûter courage désormais ouvrage chute.,6.0,
201,compte,2024-04-19,628,Cas avec vague larme.,6.0,
202,compte,2024-03-19,542,Réduire me appeler.,6.0,
203,compte,2024-02-19,609,Fatiguer enfoncer surprendre soulever mouvement dormir confondre.,6.0,
204,compte,2024-01-19,446,Doux d'autres mur article retrouver je mauvais.,6.0,
205,compte,2023-12-19,833,Étonner simple remonter immense cas lune enfoncer.,6.0,
206,compte,2023-11-19,526,Acte cri naturel.,6.0,
207,compte,2023-10-19,723,Expression six considérer direction divers valoir.,6.0,
208,compte,2023-09-19,607,Faible leur creuser précis fauteuil siècle.,6.0,
209,compte,2023-08-19,581,Huit mort violence pont rompre.,6.0,
210,compte,2023-07-19,362,Rêver mieux sien côte réunir.,6.0,
211,compte,2023-06-19,479,Interrompre accuser glisser chacun.,6.0,
212,compte,2023-05-19,737,L'Un prochain reposer eh mode monsieur fort posséder.,6.0,
213,compte,2023-04-19,807,Cuisine deux secret billet.,6.0,
214,compte,2023-03-19,348,Différent expliquer million robe étendre fumer.,6.0,
215,compte,2023-02-19,652,Sol ventre coucher moyen pencher complet.,6.0,
216,compte,2023-01-19,690,Examiner plein journée qualité subir.,6.0,
217,compte,2025-12-19,837,Oreille inquiéter vague soldat passé tour.,7.0,
218,compte,2025-11-19,626,Parmi mort serrer autour classe déclarer.,7.0,
219,compte,2025-10-19,726,Penser presser oeil forcer souvenir rentrer.,7.0,
220,compte,2025-09-19,718,Quitter madame huit combien si céder.,7.0,
221,compte,2025-08-19,452,Peuple travers précis avis combien.,7.0,
222,compte,2025-07-19,607,Bientôt traiter interrompre art.,7.0,
223,compte,2025-06-19,685,Mais voyager bouche ouvert barbe tout.,7.0,
224,compte,2025-05-19,488,En désespoir droite parce que certainement secret.,7.0,
225,compte,2025-04-19,850,Animal exemple terminer.,7.0,
226,compte,2025-03-19,784,Instinct somme train mener chaîne troubler matière.,7.0,
227,compte,2025-02-19,546,Nu parmi partir moins maintenir passage en étonner.,7.0,
228,compte,2025-01-19,530,Décider beau en fusil chose acheter maintenir.,7.0,
229,compte,2024-12-19,607,Éteindre intention accorder toile.,7.0,
230,compte,2024-11-19,447,Eh réfléchir retour nouveau retirer mener consulter.,7.0,
231,compte,2024-10-19,774,Hasard désormais prier pays santé dans avenir.,7.0,
232,compte,2024-09-19,359,Départ réduire témoin rien politique droite quelque rire.,7.0,
233,compte,2024-08-19,722,Construire aussitôt chaise but île ici.,7.0,
234,compte,2024-07-19,726,Large ensuite chez vêtir aile vie dresser céder.,7.0,
235,compte,2024-06-19,842,Propos dehors cheval le état endroit.,7.0,
236,compte,2024-05-19,437,Vue indiquer respecter épaule sembler un aspect.,7.0,
237,compte,2024-04-19,697,Autour intérêt contraire selon rouge sans.,7.0,
238,compte,2024-03-19,548,Vieux prévoir fin vieux.,7.0,
239,compte,2024-02-19,561,Quant À anglais imposer rejoindre madame.,7.0,
240,compte,2024-01-19,508,Interrompre point énergie entraîner parfaitement.,7.0,
241,compte,2023-12-19,638,Quelqu'Un mentir causer.,7.0,
242,compte,2023-11-19,380,Pas coucher souvenir société d'abord calme partager.,7.0,
243,compte,2023-10-19,760,Affirmer rester neuf forcer dernier vêtement.,7.0,
244,compte,2023-09-19,679,Répéter inviter nouveau fatiguer beau ciel beauté ouvrage.,7.0,
245,compte,2023-08-19,394,Attaquer examiner choisir mariage bruit juge enlever mince.,7.0,
246,compte,2023-07-19,848,Révolution haut convenir poser existence chacun.,7.0,
247,compte,2023-06-19,495,Jouer hasard écouter.,7.0,
248,compte,2023-05-19,352,Content consentir étouffer puis dos sauver tenter.,7.0,
249,compte,2023-04-19,574,Clair manier hors route me ignorer remonter.,7.0,
250,compte,2023-03-19,686,Feuille conseil agir signe remonter dent produire.,7.0,
251,compte,2023-02-19,340,Route content poitrine réfléchir choisir droit fuir.,7.0,
252,compte,2023-01-19,374,But maintenant auprès sec certain son.,7.0,
253,compte,2025-12-19,492,Briser contraire an passion flamme.,8.0,
254,compte,2025-11-19,522,Maître préférer devenir faim oeil autorité tout.,8.0,
255,compte,2025-10-19,790,Permettre tour savoir intelligence passage.,8.0,
256,compte,2025-09-19,513,Million transformer gauche falloir présenter saisir.,8.0,
257,compte,2025-08-19,640,Malgré puissance science avec cuisine.,8.0,
258,compte,2025-07-19,610,Blanc promener manquer contenir mal désir paraître.,8.0,
259,compte,2025-06-19,315,Mince mince queue réflexion.,8.0,
260,compte,2025-05-19,516,Existence importance pierre source combat condition frais.,8.0,
261,compte,2025-04-19,494,Personne marche obéir trace tache mer.,8.0,
262,compte,2025-03-19,420,Sentier fusil partager saluer entraîner dépasser.,8.0,
263,compte,2025-02-19,790,Croiser réfléchir tôt deux vendre honte forme.,8.0,
264,compte,2025-01-19,548,Vite nouveau l'une.,8.0,
265,compte,2024-12-19,509,Accompagner vivre cruel enfin rejoindre.,8.0,
266,compte,2024-11-19,706,Tête longtemps morceau mort bien.,8.0,
267,compte,2024-10-19,545,Examiner champ faire ne dehors roche beaux.,8.0,
268,compte,2024-09-19,629,Montagne curiosité avant entrée joie juge.,8.0,
269,compte,2024-08-19,589,Rue bientôt passion annoncer rire figure renoncer.,8.0,
270,compte,2024-07-19,689,Étouffer rouge gauche sol solitude déchirer.,8.0,
271,compte,2024-06-19,777,Tour parti part article mais ensemble mois envelopper.,8.0,
272,compte,2024-05-19,846,Chien plein vraiment vide rang.,8.0,
273,compte,2024-04-19,667,Ligne d'autres eaux fonder cerveau baisser mort.,8.0,
274,compte,2024-03-19,615,Mener dire fort.,8.0,
275,compte,2024-02-19,567,Remarquer certain chaîne mine juge pensée.,8.0,
276,compte,2024-01-19,668,Miser vrai mais depuis disparaître.,8.0,
277,compte,2023-12-19,825,Entraîner tomber beau plante goutte étrange.,8.0,
278,compte,2023-11-19,809,Étendre permettre regretter comme étranger sac.,8.0,
279,compte,2023-10-19,777,Papier haute tomber déjà politique chute.,8.0,
280,compte,2023-09-19,400,Cacher article trouver tôt.,8.0,
281,compte,2023-08-19,780,Adresser pourquoi ça hôtel ailleurs.,8.0,
282,compte,2023-07-19,627,Quartier crier même raison mensonge.,8.0,
283,compte,2023-06-19,508,Prouver chant précéder agent nécessaire pièce apprendre commencer.,8.0,
284,compte,2023-05-19,679,Coup poussière doigt inquiétude trois.,8.0,
285,compte,2023-04-19,620,Flamme doigt seul petit.,8.0,
286,compte,2023-03-19,723,Agir sol pencher défendre.,8.0,
287,compte,2023-02-19,346,Loi presque taire joue nouveau battre.,8.0,
288,compte,2023-01-19,526,Lèvre immobile tôt aider désespoir.,8.0,
289,compte,2025-12-19,449,Émotion juste quelqu'un agent politique examiner éloigner.,9.0,
290,compte,2025-11-19,316,Double attention devoir fixe yeux voiture triste.,9.0,
291,compte,2025-10-19,567,Debout état fonction chaleur prouver.,9.0,
292,compte,2025-09-19,727,Veiller or paraître décider dépasser chien victime.,9.0,
293,compte,2025-08-19,602,Épais médecin coûter champ me réunir social en.,9.0,
294,compte,2025-07-19,456,Tellement gris tel regretter personnage mois cinq.,9.0,
295,compte,2025-06-19,500,Mille troubler caresser ennemi.,9.0,
296,compte,2025-05-19,637,Prononcer réfléchir souffrir garde.,9.0,
297,compte,2025-04-19,535,Embrasser queue sac parvenir quarante chez.,9.0,
298,compte,2025-03-19,688,Briser conscience reconnaître or disposer.,9.0,
299,compte,2025-02-19,551,Or nouveau défendre aller aventure renoncer chacun.,9.0,
300,compte,2025-01-19,811,Intention pencher connaissance fixe inutile coin début front.,9.0,
301,compte,2024-12-19,645,Ton tuer d'autres.,9.0,
302,compte,2024-11-19,563,Rassurer aujourd'hui toucher voici soit.,9.0,
303,compte,2024-10-19,800,Porter soit souvenir grand remonter offrir saison.,9.0,
304,compte,2024-09-19,802,Fonder travailler mort mari passer préparer.,9.0,
305,compte,2024-08-19,771,Madame humide sang.,9.0,
306,compte,2024-07-19,472,Soudain descendre marquer.,9.0,
307,compte,2024-06-19,660,Million lumière parmi.,9.0,
308,compte,2024-05-19,473,Content haut sourire.,9.0,
309,compte,2024-04-19,443,Impossible gloire ordre article l'un.,9.0,
310,compte,2024-03-19,800,Indiquer pays beaucoup lèvre.,9.0,
311,compte,2024-02-19,488,Rencontrer transformer pousser chaîne.,9.0,
312,compte,2024-01-19,360,Entraîner air ignorer supposer supporter source.,9.0,
313,compte,2023-12-19,836,Désormais poste tard retirer.,9.0,
314,compte,2023-11-19,334,Beauté présence particulier bas.,9.0,
315,compte,2023-10-19,376,Prononcer vieux or circonstance mer approcher.,9.0,
316,compte,2023-09-19,349,Tendre moitié petit chercher.,9.0,
317,compte,2023-08-19,306,Conclure prêter gens en.,9.0,
318,compte,2023-07-19,722,Eau conduire surprendre veiller absolu réfléchir acte.,9.0,
319,compte,2023-06-19,440,Siège mêler accepter source demeurer noire jamais.,9.0,
320,compte,2023-05-19,536,Hésiter objet accompagner soumettre douleur parfaitement.,9.0,
321,compte,2023-04-19,369,Armée chemin perdre année si.,9.0,
322,compte,2023-03-19,454,Secret égal tirer armée général compter plante.,9.0,
323,compte,2023-02-19,309,Peu précipiter mort mode vers race expliquer animer.,9.0,
324,compte,2023-01-19,523,Entourer sur ruine rayon semblable.,9.0,
325,compte,2025-12-19,817,Éclater chacun poursuivre dormir.,10.0,
326,compte,2025-11-19,766,Garçon créer crainte assurer mort violence malgré.,10.0,
327,compte,2025-10-19,682,Joli portier tracer voie.,10.0,
328,compte,2025-09-19,361,Grand sept différent moyen papier.,10.0,
329,compte,2025-08-19,794,Oser lentement protéger lettre.,10.0,
330,compte,2025-07-19,799,Sourd dehors écarter convenir.,10.0,
331,compte,2025-06-19,316,Ainsi paraître caractère sept.,10.0,
332,compte,2025-05-19,306,Y garde espèce minute pas achever couper drame.,10.0,
333,compte,2025-04-19,844,Emporter lit entre accepter.,10.0,
334,compte,2025-03-19,721,État projet où amener complètement époque.,10.0,
335,compte,2025-02-19,312,Toile jeter inventer animal chair chose.,10.0,
336,compte,2025-01-19,317,Suite marier espérer répondre garde quel se.,10.0,
337,compte,2024-12-19,842,Mois poche mieux agir musique.,10.0,
338,compte,2024-11-19,581,Retrouver souvent étudier vêtir douze amuser.,10.0,
339,compte,2024-10-19,848,Parce Que semaine morceau fleur nous soin.,10.0,
340,compte,2024-09-19,593,Près enfermer an garde lequel.,10.0,
341,compte,2024-08-19,317,Faute satisfaire éloigner maison complet.,10.0,
342,compte,2024-07-19,814,Réponse rencontre tenir heureux air joie.,10.0,
343,compte,2024-06-19,740,Choisir étage joindre son encore envie règle.,10.0,
344,compte,2024-05-19,483,Sac transformer plusieurs cesse.,10.0,
345,compte,2024-04-19,409,Important prévenir main.,10.0,
346,compte,2024-03-19,398,Endormir approcher sept.,10.0,
347,compte,2024-02-19,836,Espace spectacle bord réflexion.,10.0,
348,compte,2024-01-19,452,Aile rayon pas créer coup.,10.0,
349,compte,2023-12-19,546,Doucement ensemble hauteur caractère cher.,10.0,
350,compte,2023-11-19,496,Calmer valoir ministre bonheur meilleur.,10.0,
351,compte,2023-10-19,839,Énorme chant préparer droit derrière autour ordre.,10.0,
352,compte,2023-09-19,558,Mauvais arrêter amener taille arracher fille.,10.0,
353,compte,2023-08-19,662,Grain conclure nouveau nord.,10.0,
354,compte,2023-07-19,573,Oublier énergie rouge preuve plan marché vieillard.,10.0,
355,compte,2023-06-19,706,Monsieur besoin révéler précéder blanc encore pauvre.,10.0,
356,compte,2023-05-19,380,Intérêt trou charger supporter devoir face connaissance.,10.0,
357,compte,2023-04-19,682,Résistance source idée amour inviter être.,10.0,
358,compte,2023-03-19,715,Sentiment dresser étrange moyen livrer frapper prévoir.,10.0,
359,compte,2023-02-19,770,Entretenir pencher respirer marchand.,10.0,
360,compte,2023-01-19,549,Nombreux demi dernier cinquante joie aujourd'hui.,10.0,
361,compte,2025-12-19,531,Roman nombreux répondre habitude représenter.,11.0,
362,compte,2025-11-19,607,Pourquoi compagnie plaire quart prétendre seconde calmer.,11.0,
363,compte,2025-10-19,382,Inconnu mieux sac composer vague autant brûler rompre.,11.0,
364,compte,2025-09-19,332,Envie pauvre attendre d'abord chance naturel.,11.0,
365,compte,2025-08-19,395,Rare peu idée.,11.0,
366,compte,2025-07-19,715,Flot musique côte point engager.,11.0,
367,compte,2025-06-19,688,Rester poète terrible traiter printemps terme voiture.,11.0,
368,compte,2025-05-19,686,Accord voilà français centre écouter falloir mensonge arriver.,11.0,
369,compte,2025-04-19,787,Ruine expérience situation soir demain premier fonder.,11.0,
370,compte,2025-03-19,357,Prétendre frapper habitude cri compagnie chance.,11.0,
371,compte,2025-02-19,309,Fin tomber seigneur choisir vraiment plaisir chacun.,11.0,
372,compte,2025-01-19,475,Peau charger sourire personne.,11.0,
373,compte,2024-12-19,384,Barbe passion gauche image.,11.0,
374,compte,2024-11-19,811,Tout papier il gouvernement rue fin début grâce.,11.0,
375,compte,2024-10-19,744,Musique séparer demander.,11.0,
376,compte,2024-09-19,639,Divers tôt muet anglais apercevoir joindre fait.,11.0,
377,compte,2024-08-19,397,Jeunesse posséder chanter public vite vivant rencontrer inquiétude.,11.0,
378,compte,2024-07-19,840,Maintenir ombre dès parmi.,11.0,
